percentage,f1,auc
0.0,0.7412008281573499,0.8934920469551663
0.1,0.7642585551330798,0.9410080396380404
0.2,0.7692307692307693,0.949709303898859
0.30000000000000004,0.7513611615245009,0.9529612847184639
0.4,0.7252747252747253,0.9325689227805078
0.5,0.7490909090909091,0.950729141861321
0.6000000000000001,0.7478260869565216,0.9696061226809257
0.7000000000000001,0.7553956834532375,0.9595061751780573
0.8,0.7495559502664298,0.9612837036996947
0.9,0.7420494699646643,0.9587484846188816
1.0,0.7285464098073554,0.953753815513173
